method,montage,epoch,n_total,n_tinnitus,n_control,accuracy,balanced_accuracy,f1,auroc,cohens_kappa,sensitivity,specificity
logreg,full26ch,1sec,62,31,31,0.8548,0.8548,0.8548,0.9365,0.7097,0.871,0.8387
logreg,full26ch,2sec,62,31,31,0.8387,0.8387,0.8387,0.9261,0.6774,0.8387,0.8387
logreg,full26ch,4sec,62,31,31,0.8548,0.8548,0.8548,0.948,0.7097,0.871,0.8387
logreg,full26ch,4sec_overlap3sec,62,31,31,0.8871,0.8871,0.8871,0.9495,0.7742,0.871,0.9032
logreg,full26ch,8sec,61,31,30,0.8689,0.8683,0.8686,0.9602,0.7374,0.9032,0.8333
logreg,4ch_contralateral,1sec,62,31,31,0.7419,0.7419,0.7417,0.7482,0.4839,0.7097,0.7742
logreg,4ch_contralateral,2sec,62,31,31,0.7742,0.7742,0.774,0.8012,0.5484,0.8065,0.7419
logreg,4ch_contralateral,4sec,62,31,31,0.7419,0.7419,0.7409,0.7794,0.4839,0.8065,0.6774
logreg,4ch_contralateral,4sec_overlap3sec,62,31,31,0.7258,0.7258,0.7257,0.7929,0.4516,0.7419,0.7097
logreg,4ch_contralateral,8sec,62,31,31,0.7258,0.7258,0.7257,0.794,0.4516,0.7419,0.7097
logreg,4ch_xbipolar,1sec,62,31,31,0.6613,0.6613,0.6605,0.6982,0.3226,0.7097,0.6129
logreg,4ch_xbipolar,2sec,62,31,31,0.6935,0.6935,0.6928,0.7867,0.3871,0.7419,0.6452
logreg,4ch_xbipolar,4sec,62,31,31,0.7581,0.7581,0.7565,0.7815,0.5161,0.8387,0.6774
logreg,4ch_xbipolar,4sec_overlap3sec,62,31,31,0.7258,0.7258,0.724,0.7763,0.4516,0.8065,0.6452
logreg,4ch_xbipolar,8sec,62,31,31,0.7419,0.7419,0.7417,0.7955,0.4839,0.7742,0.7097
logreg,2ch_bipolar,1sec,62,31,31,0.6935,0.6935,0.6935,0.7534,0.3871,0.7097,0.6774
logreg,2ch_bipolar,2sec,62,31,31,0.8065,0.8065,0.8065,0.8564,0.6129,0.8065,0.8065
logreg,2ch_bipolar,4sec,62,31,31,0.7903,0.7903,0.7903,0.8429,0.5806,0.7742,0.8065
logreg,2ch_bipolar,4sec_overlap3sec,62,31,31,0.7742,0.7742,0.7742,0.8085,0.5484,0.7742,0.7742
logreg,2ch_bipolar,8sec,62,31,31,0.7581,0.7581,0.758,0.794,0.5161,0.7419,0.7742
lora,full26ch,1sec,62,31,31,0.9516,0.9516,0.9515,0.9979,0.9032,1.0,0.9032
lora,full26ch,2sec,62,31,31,0.9194,0.9194,0.9192,0.9948,0.8387,0.9677,0.871
lora,full26ch,4sec,62,31,31,0.9677,0.9677,0.9677,1.0,0.9355,1.0,0.9355
lora,full26ch,4sec_overlap3sec,62,31,31,0.9677,0.9677,0.9677,0.9979,0.9355,1.0,0.9355
lora,full26ch,8sec,61,31,30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
lora,4ch_contralateral,1sec,62,31,31,0.8548,0.8548,0.8545,0.9084,0.7097,0.9032,0.8065
lora,4ch_contralateral,2sec,62,31,31,0.8387,0.8387,0.8385,0.8887,0.6774,0.871,0.8065
lora,4ch_contralateral,4sec,62,31,31,0.8387,0.8387,0.838,0.871,0.6774,0.9032,0.7742
lora,4ch_contralateral,4sec_overlap3sec,62,31,31,0.7581,0.7581,0.758,0.8429,0.5161,0.7742,0.7419
lora,4ch_contralateral,8sec,62,31,31,0.9194,0.9194,0.9193,0.9636,0.8387,0.9355,0.9032
lora,4ch_xbipolar,1sec,62,31,31,0.871,0.871,0.8704,0.9344,0.7419,0.9355,0.8065
lora,4ch_xbipolar,2sec,62,31,31,0.8387,0.8387,0.838,0.9188,0.6774,0.9032,0.7742
lora,4ch_xbipolar,4sec,62,31,31,0.8065,0.8065,0.8056,0.8991,0.6129,0.871,0.7419
lora,4ch_xbipolar,4sec_overlap3sec,62,31,31,0.7419,0.7419,0.7417,0.8304,0.4839,0.7742,0.7097
lora,4ch_xbipolar,8sec,62,31,31,0.8387,0.8387,0.8385,0.922,0.6774,0.871,0.8065
lora,2ch_bipolar,1sec,62,31,31,0.8871,0.8871,0.8871,0.9178,0.7742,0.9032,0.871
lora,2ch_bipolar,2sec,62,31,31,0.8387,0.8387,0.8385,0.8991,0.6774,0.8065,0.871
lora,2ch_bipolar,4sec,62,31,31,0.871,0.871,0.871,0.9292,0.7419,0.871,0.871
lora,2ch_bipolar,4sec_overlap3sec,62,31,31,0.8065,0.8065,0.8062,0.872,0.6129,0.8387,0.7742
lora,2ch_bipolar,8sec,62,31,31,0.8387,0.8387,0.8385,0.9334,0.6774,0.8065,0.871
